variable,crisis,total.poor
poorBeta2018,1,217552528.392647
poorBeta2018,0,410075856.214318
poorGQ2018,1,218717357.532251
poorGQ2018,0,391836615.509437
poorBeta2030,1,182840219.305473
poorBeta2030,0,141496888.156131
poorGQ2030,1,180472839.846628
poorGQ2030,0,114662132.731042
poorBeta2030high,1,151825509.871039
poorBeta2030high,0,113096115.645871
poorGQ2030high,1,148355829.940394
poorGQ2030high,0,86597128.2512549
poorBeta2030low,1,217504809.218074
poorBeta2030low,0,177153140.416468
poorGQ2030low,1,216453199.744999
poorGQ2030low,0,153162040.019913
