svy,CountryName,Beta2018,Beta2020,Beta2020high,Beta2020low,GQ2018,GQ2020,GQ2020high,GQ2020low,type,2018,2020,CountryCode,poorBeta2018,poorGQ2018,poorBeta2020,poorGQ2020,poorBeta2020high,poorGQ2020high,poorBeta2020low,poorGQ2020low
AFG_3,Afghanistan,0.347886831328036,0.342944635474278,0.329807649110767,0.356485017231179,0.347981036620223,0.343333146374681,0.3310313118765,0.356093797521381,3,36373.176,38054.941,AFG,12653.748943977,12657.1754896498,13050.7378692401,13065.5226286329,12550.8106282589,12597.3770426128,13566.0162981165,13551.1284551421
AGO_3,Angola,0.473741330223428,0.499237868792961,0.490186161491775,0.508409179277203,0.475190713373287,0.50085629003973,0.491743911905004,0.510088595565648,3,30774.205,32827.401,AGO,14579.0128132685,14623.6164274458,16388.6817132519,16441.8102765065,16091.5376879412,16142.6745854142,16689.7520002136,16744.8828721603
ALB_3,Albania,0.00461304490876679,0.00282622639660728,0.00223844600600288,0.00356615188933759,0,0,0,0,3,2934.363,2942.034,ALB,13.5363482976236,0,8.31485415051611,0,6.58558425682467,0,10.4917401075954,0
ARE_3,United Arab Emirates,0,0,0,0,0,0,0,0,3,9541.615,9813.17,ARE,0,0,0,0,0,0,0,0
ARG_2,Argentina,0.0041436703170394,0.00492349843171491,0.00453929907304318,0.00534599832462882,0,0,0,0,2,41055.867,41919.857,ARG,170.121977428217,0,206.392350197213,0,190.286768022203,0,224.10348529068,0
ARM_3,Armenia,0.0168706460024983,0.0130112866001366,0.0121527634866705,0.0139560367652336,0,0,0,0,3,2934.152,2938.679,ARM,49.5010397095224,0,38.2359946948027,0,35.7130708502453,0,41.01231216522,0
AUS_3,Australia,0.00198119790317394,0.00198813398682845,0.00197374088808518,0.0020030846029279,0,0,0,0,3,24772.247,25398.177,AUS,49.078723813307,0,50.4949788971847,0,50.1294204277247,0,50.8746972911376,0
AUT_3,Austria,0.00286045574277287,0.00286548868234537,0.00284826188201928,0.00288335932651729,0,0,0,0,3,8751.82,8782.21,AUT,25.0341937787145,0,25.1653233609803,0,25.0140339828886,0,25.3222671109334,0
AZE_3,Azerbaijan,2.88464400972719e-06,2.9288717957364e-06,2.8377818279809e-06,3.02598837692798e-06,0,0,0,0,3,9923.914,10099.743,AZE,0.0286269590731478,0,0.0295808524168861,0,0.0286608671526773,0,0.0305617049279597,0
BDI_3,Burundi,0.740654791909537,0.760993058109178,0.751335587956748,0.77052960437016,0.757141511013608,0.776571058533772,0.767382795971468,0.785577671237586,3,11216.45,11939.227,BDI,8307.51744071372,8492.43990120859,9085.66886618967,9271.658149465,8970.36613779408,9161.95739699804,9199.52785679553,9379.1901430369
BEL_3,Belgium,0.00253311212917569,0.00253815193886809,0.00252266770290105,0.00255421919368855,0,0,0,0,3,11498.519,11619.972,BEL,29.1270379464572,0,29.4932544613929,0,29.3133280730145,0,29.6799555125235,0
BEN_3,Benin,0.485828578407583,0.462461879292175,0.453759390568248,0.471306739842093,0.469464746394986,0.443248394021055,0.433601990965855,0.453119775000823,3,11485.674,12122.985,BEN,5580.06867147293,5392.11903158549,5606.41842573084,5373.49363199134,5500.91828546801,5256.5504324492,5713.6445375046,5493.16423553836
BFA_3,Burkina Faso,0.367294411661659,0.342723561531137,0.329607317137092,0.356042097441914,0.371046174065238,0.34465879505354,0.330597606047007,0.358955770648238,3,19751.651,20903.345,BFA,7254.67103339141,7328.77453502184,7164.0688463141,7204.52170028843,6889.89546464105,6910.59581537468,7442.47079735195,7503.376313601
BGD_3,Bangladesh,0.103697815754438,0.0650700730084513,0.0588254127857661,0.0717896082761686,0.107698641121321,0.0665108982342727,0.0592187672137124,0.074090696943525,3,166368.149,169775.309,BGD,17252.0136624089,17917.6235731694,11047.2917516624,11291.9082995912,9987.102632756,10053.8845023071,12188.1029280755,12578.7709676123
BGR_3,Bulgaria,0.011472733705324,0.0110142457263099,0.0108361536669942,0.01120071232541,0,0,0,0,3,7036.848,6940.527,BGR,80.7318832288421,0,76.4446698480884,0,75.2086171019223,0,77.7388463137406,0
BIH_3,Bosnia and Herzegovina,0.000706971015415824,0.00067964018897505,0.000657341902354385,0.000703429694402155,0,0,0,0,3,3503.554,3498.21,BIH,2.47691112894417,0,2.37752410547441,0,2.29952001623513,0,2.46074479125456,0
BLR_3,Belarus,0.000358400693787733,0.000352781439758192,0.000345025364197368,0.000360970190094186,0,0,0,0,3,9452.113,9415.431,BLR,3.38764385696005,0,3.32158930412391,0,3.24856250985019,0,3.39868991788869,0
BLZ_3,Belize,0.106723936670868,0.115654183666527,0.112089756773225,0.119355468812898,0.110854828006366,0.120501651731988,0.116673289850921,0.124448728544249,3,382.444,398.007,BLZ,40.8159292361536,42.3957638420666,46.0311746785636,47.9605009008934,44.6125078240411,46.4367860736957,47.5043120758151,49.531465101711
BOL_3,Bolivia,0.041084339035739,0.0406847583389637,0.0390300269049005,0.0424179934946129,0.0414196200900877,0.0409803837790536,0.0391463101662721,0.042875971891867,3,11215.674,11543.982,BOL,460.788553130323,464.548956134275,469.664117939347,473.076812698487,450.561928049687,451.904299925862,489.672553377929,494.959447752218
BRA_3,Brazil,0.0393538122830263,0.0405732052377665,0.0386349042172197,0.0425789722594582,0.0252884235517635,0.0265453285188595,0.0245457721777479,0.0286058559765368,3,210867.954,213863.046,BRA,8298.45787822182,5332.51813424579,8677.10925813189,5677.06481411395,8262.57829781285,5249.43360435522,9106.06870295723,6117.73549257947
BTN_3,Bhutan,0.000310188626496462,1.07991986177736e-05,2.22119537442171e-06,5.47304979626238e-05,0,0,0,0,3,817.054,835.245,BTN,0.25344085803344,0,0.00901997664950229,0,0.00185524233050886,0,0.0457133747707918,0
BWA_3,Botswana,0.193365719166218,0.19172266172175,0.186335124795127,0.197213772394999,0.167581811618923,0.165474249286082,0.158563364600189,0.172517046335718,3,2333.201,2415.766,BWA,451.161089324338,391.002050451083,463.157087616904,399.747065300842,450.142059085825,383.051985046741,476.422326083578,416.760814958253
CAF_3,Central African Republic,0.688112187901699,0.679892899685601,0.672129119941688,0.687652826314712,0.691444482066446,0.683203488495247,0.675415898671625,0.690984002401312,3,4737.423,4920.889,CAF,3259.87850554583,3275.66499256467,3345.67749124098,3361.96853129789,3307.47279290073,3323.64666619831,3383.86322883098,3400.25557659259
CAN_3,Canada,0.00383707195827791,0.00385896231069842,0.0038309342879101,0.00388807302564457,0,0,0,0,3,36953.765,37603.205,CAN,141.794255434292,0,145.109350856466,0,144.055407369813,0,146.204007038283,0
