svy,CountryName,Beta2018,Beta2020,Beta2020high,Beta2020low,GQ2018,GQ2020,GQ2020high,GQ2020low,type,2018,2020,CountryCode,poorBeta2018,poorGQ2018,poorBeta2020,poorGQ2020,poorBeta2020high,poorGQ2020high,poorBeta2020low,poorGQ2020low
AFG_3,Afghanistan,0.352078392003536,0.351854064761953,0.338490648243648,0.365615065091524,0.35193170429863,0.351720065258525,0.33915379385727,0.364746006412752,3,36373.176,38054.941,AFG,12806.2093181416,12800.873820434,13389.7856751263,13384.6863319293,12881.2416479638,12906.4776151646,13913.4597307691,13880.3877540229
AGO_3,Angola,0.473741330223428,0.473917401244622,0.465212830740691,0.482745699238328,0.475190713373287,0.475367916852218,0.466608462669065,0.484253891209395,3,30774.205,32827.401,AGO,14579.0128132685,14623.6164274458,15557.4765715351,15605.0932290424,15271.7281450698,15317.5431140309,15847.286649922,15896.7966725412
ALB_3,Albania,0.00678387350841942,0.00673462827813092,0.00541669231904854,0.00831627330708244,0,0,0,0,3,2934.363,2942.034,ALB,19.9063474197861,0,19.8135053716226,0,15.9360929701796,0,24.466758822729,0
ARE_3,United Arab Emirates,0,0,0,0,0,0,0,0,3,9541.615,9813.17,ARE,0,0,0,0,0,0,0,0
ARG_2,Argentina,0.0041436703170394,0.00415061645500364,0.00383638205954301,0.00449608827682034,0,0,0,0,2,41055.867,41919.857,ARG,170.121977428217,0,173.993248255599,0,160.820587333408,0,188.475377623685,0
ARM_3,Armenia,0.0168706460024983,0.0168126261333502,0.0156001741456585,0.0181536616157184,0,0,0,0.000742918909062576,3,2934.152,2938.679,ARM,49.5010397095224,0,49.4069113529275,0,45.8439041581896,0,53.3477841632178,2.1832001967651
AUS_3,Australia,0.00200639272162679,0.00200629756124305,0.00199147655538302,0.0020216928621318,0,0,0,0,3,24772.247,25398.177,AUS,49.702856079141,0,50.9563005751192,0,50.5798740449683,0,51.34731315206,0
AUT_3,Austria,0.00287249817378347,0.00287231693421901,0.00285496267942783,0.00289031876255297,0,0,0,0,3,8751.82,8782.21,AUT,25.1395869672816,0,25.2252905028676,0,25.0728817928979,0,25.3833863396804,0
AZE_3,Azerbaijan,2.23612881999693e-05,2.23494442021265e-05,2.06822145153195e-05,2.42167254667415e-05,0,0,0,0,3,9923.914,10099.743,AZE,0.22191150102571,0,0.225723642634318,0,0.208885051275596,0,0.244582703515644,0
BDI_3,Burundi,0.695021733840618,0.695255740260939,0.684608855165799,0.705848768612062,0.712455876157901,0.712688786958136,0.702053840237065,0.723192374989887,3,11216.45,11939.227,BDI,7795.6765265366,7991.22571213129,8300.81610602839,8508.95320784783,8173.7005280346,8381.98016481205,8427.28867612988,8634.35792967338
BEL_3,Belgium,0.00254199959988306,0.00254188699090347,0.00252635447710217,0.00255800292109267,0,0,0,0,3,11498.519,11619.972,BEL,29.2292306972478,0,29.5366556614626,0,29.3561682860019,0,29.723922319015,0
BEN_3,Benin,0.503789335206348,0.503487973461934,0.494329292097007,0.512778539569537,0.489895352759739,0.489550753590131,0.47910655214936,0.500200162265044,3,11485.674,12122.985,BEN,5786.36006885683,5626.77831591337,6103.77714995942,5934.81644251185,5992.74659315264,5808.20154510842,6216.4065435234,6063.91906413669
BFA_3,Burkina Faso,0.423393536896836,0.423012585397421,0.409367326723885,0.436808812609658,0.431367877085356,0.430958564668176,0.416291322603164,0.445773805474588,3,19751.651,20903.345,BFA,8362.72137644193,8520.22776080085,8842.37801190426,9008.47555796369,8557.14646223708,8701.88113688023,9130.76530902002,9318.1636477982
BGD_3,Bangladesh,0.158116800526061,0.157494649619644,0.146754236462408,0.168683893312477,0.161045670780212,0.160446769228312,0.150086410969588,0.171203619314425,3,166368.149,169775.309,BGD,26305.599429323,26792.8701521673,26738.7028050218,27239.8998237883,24915.2458424644,25480.9667990628,28638.3601104488,29066.1473710249
BGR_3,Bulgaria,0.0118326976193433,0.0118253627182792,0.0116134542293772,0.0120477689411322,0,0,0,0,3,7036.848,6940.527,BGR,83.2648945772805,0,82.0742492310103,0,80.6034926422566,0,83.6178656256896,0
