"","CountryName","PopTotal","BaseHC2030","RegionCode","PlusOneHC2030","MinusOneHC2030","r.base","r.minusone","r.plusone","pop2030","basepoorpop","plusonepop","minusonepop"
"1","Afghanistan",49182.291,0.00122419084428571,"SAS",0.000685146312857143,0.00232403782857143,0.00122419084428571,0.00232403782857143,0.000685146312857143,49.182291,0.000602085103431957,0.00033697065336517,0.00114301504779808
"2","Albania",2848.147,0.001319179,"ECA",0.00111321,0.001769613,0.00379382341086667,0.00470116531666667,0.00317993536735833,2.848147,3.757215711313e-05,3.17058572187e-05,5.040117957111e-05
"3","Algeria",51410.114,0.001848202,"MNA",0.001465895,0.002446232,0.01737361157,0.02353631832,0.01247108618,51.410114,0.00095016275515028,0.0007536182906203,0.00125761065990448
"4","Andorra",79.246,0.00325149034615385,"OHI",0.00309096330769231,0.00372859323076923,0.00325149034615385,0.00372859323076923,0.00309096330769231,0.079246,2.57667603971308e-06,2.44946478281385e-06,2.95476099165538e-06
"5","Angola",45744.097,0.1117962,"SSA",0.08601091,0.1491739,0.164199427244091,0.192166619886364,0.140084737409091,45.744097,0.051140162170314,0.0393449141009827,0.068238253514683
"6","Antigua and Barbuda",107.198,0.00325149034615385,"OHI",0.00309096330769231,0.00372859323076923,0.00325149034615385,0.00372859323076923,0.00309096330769231,0.107198,3.48553262127e-06,3.31345084658e-06,3.99697737152e-06
"7","Argentina",50161.709,0.04353689255,"LAC",0.0361679764583333,0.0517243145458333,0.04353689255,0.0517243145458333,0.0361679764583333,50.161709,0.0218388493485737,0.0181424751022177,0.0259458001447256
"8","Armenia",3028.886,0.002106581,"ECA",0.001744093,0.003202607,0.00379382341086667,0.00470116531666667,0.00317993536735833,3.028886,6.380593698766e-05,5.282658870398e-05,9.700331505802e-05
"9","Aruba",112.504,0.00325149034615385,"OHI",0.00309096330769231,0.00372859323076923,0.00325149034615385,0.00372859323076923,0.00309096330769231,0.112504,3.65805669903692e-06,3.47745735968615e-06,4.19481652834462e-06
"10","Australia",28753.01,0.002470975,"OHI",0.002470975,0.004980354,0.00325149034615385,0.00372859323076923,0.00309096330769231,28.75301,0.0007104796888475,0.0007104796888475,0.0014320016836554
"11","Austria",9355.973,0.004944102,"OHI",0.004944102,0.007479796,0.00325149034615385,0.00372859323076923,0.00309096330769231,9.355973,0.00046256884821246,0.00046256884821246,0.00069980769421508
"12","Azerbaijan",10960.828,0,"ECA",0,0,0.00379382341086667,0.00470116531666667,0.00317993536735833,10.960828,0,0,0
"13","Bahamas",437.225,0.00325149034615385,"OHI",0.00309096330769231,0.00372859323076923,0.00325149034615385,0.00372859323076923,0.00309096330769231,0.437225,1.42163286659712e-05,1.35144643220577e-05,1.63023417532308e-05
"14","Bahrain",2052.812,0.00325149034615385,"OHI",0.00309096330769231,0.00372859323076923,0.00325149034615385,0.00372859323076923,0.00309096330769231,2.052812,6.67469840046877e-05,6.34516656959046e-05,7.65410092724184e-05
"15","Bangladesh",183619.918,0.000615974,"SAS",0.0003092856,0.001245833,0.00122419084428571,0.00232403782857143,0.000685146312857143,183.619918,0.00113105095370132,0.000567909965105808,0.00228759753301694
"16","Barbados",295.355,0.00325149034615385,"OHI",0.00309096330769231,0.00372859323076923,0.00325149034615385,0.00372859323076923,0.00309096330769231,0.295355,9.60343931188269e-06,9.12931467743462e-06,1.10125865367385e-05
"17","Belarus",9442.089,0,"ECA",0,0,0.00379382341086667,0.00470116531666667,0.00317993536735833,9.442089,0,0,0
