CountryCode,DisplayName,region,Level,ProjYear,EPL,LPL,UPL,p20,p80
AFG,Afghanistan,SAS,National,2008,0.726086103629137,0.932043122875767,0.984137682803754,0.756130041243703,0.998847483201234
AFG,Afghanistan,SAS,National,2010,0.556665479921386,0.868874433004934,0.970651453477607,0.645195136558339,0.99824723402995
AFG,Afghanistan,SAS,National,2011,0.514575217819735,0.847722699504984,0.965991461662571,0.652466410099323,0.998100886131392
AFG,Afghanistan,SAS,National,2012,0.428395147544484,0.793978689662552,0.953493424232911,0.59355702630668,0.997691182561312
AFG,Afghanistan,SAS,National,2013,0.39384708681492,0.767386908462186,0.946856163793052,0.602745935273314,0.997553011940142
AFG,Afghanistan,SAS,National,2015,0.371896607973711,0.74862895950718,0.941954239225805,0.624972299466156,0.997570782177188
AFG,Afghanistan,SAS,National,2018,0.328317482971903,0.706366663688672,0.930133014173228,0.631628212386757,
AFG,Afghanistan,SAS,National,2019,0.312129280276949,0.688733214885488,0.924839208187006,0.621347848294242,
AFG,Afghanistan,SAS,National,2020,0.328589150036141,0.706653027858096,0.930217110458251,0.632430665783042,
AFG,Afghanistan,SAS,National,2021,0.304954402380644,0.680545893244626,0.922300853792937,0.621365804537916,
AGO,Angola,SSA,National,1981,0.2347692,0.4239786,0.6672217,0.1097533,0.9255239
AGO,Angola,SSA,National,1984,0.2371827,0.4260981,0.6701725,0.1370193,0.9236138
AGO,Angola,SSA,National,1987,0.2390939,0.427239,0.6718362,0.1537602,0.9284931
AGO,Angola,SSA,National,1990,0.2576473,0.4642746,0.7016096,0.1660048,0.9346808
AGO,Angola,SSA,National,1993,0.4199441,0.65735,0.8430728,0.2893686,0.9651205
AGO,Angola,SSA,National,1996,0.3374877,0.5745217,0.7927371,0.2634904,0.9470607
AGO,Angola,SSA,National,1999,0.3215566,0.5551638,0.7810454,0.2553389,0.9437235
AGO,Angola,SSA,National,2002,0.3338941,0.5595577,0.7794941,0.2859248,0.9499671
AGO,Angola,SSA,National,2005,0.3354317,0.5693087,0.787885,0.3291588,0.9641611
AGO,Angola,SSA,National,2008,0.2861625,0.5380489,0.7749224,0.3121317,0.9791676
AGO,Angola,SSA,National,2010,0.3172535,0.5708045,0.7997909,0.3712959,0.9855481
AGO,Angola,SSA,National,2011,0.3290969,0.5788268,0.8036978,0.4138097,0.9861266
AGO,Angola,SSA,National,2012,0.3311724,0.5758446,0.7983835,0.4289613,0.9860669
AGO,Angola,SSA,National,2013,0.3367167,0.5804921,0.799092,0.4627515,0.9863811
AGO,Angola,SSA,National,2015,0.3711673,0.6050247,0.8142612,0.5237173,0.9874389
AGO,Angola,SSA,National,2018,0.4712,0.6932878,0.8703756,0.6504276,
AGO,Angola,SSA,National,2019,0.4856948,0.7074293,0.8791192,0.6732996,
AGO,Angola,SSA,National,2020,0.5048404,0.7204138,0.888418,0.6833092,
AGO,Angola,SSA,National,2021,0.5063654,0.7221204,0.8889319,0.691697,
ALB,Albania,ECA,National,1981,0.007408011,0.1014042,0.4188859,0.0005741581,0.9553556
ALB,Albania,ECA,National,1984,0.00920669,0.1117415,0.4461842,0.0005741581,0.9594747
ALB,Albania,ECA,National,1987,0.008623258,0.110221,0.4409994,0.001144284,0.9642147
ALB,Albania,ECA,National,1990,0.01432533,0.1480251,0.5278291,0.00173457,0.9751443
ALB,Albania,ECA,National,1993,0.05807021,0.3276024,0.7356264,0.01013405,0.9923009
ALB,Albania,ECA,National,1996,0.01129124,0.1388777,0.5149493,0.003779202,0.9510288
ALB,Albania,ECA,National,1999,0.01642849,0.1561778,0.5261521,0.006002599,0.9367717
ALB,Albania,ECA,National,2002,0.0204732,0.1698068,0.5409047,0.0107764,0.9398618
ALB,Albania,ECA,National,2005,0.01123728,0.1092852,0.4260391,0.01081512,0.943105
ALB,Albania,ECA,National,2008,0.003705177,0.06545949,0.358052,0.004684011,0.9567966
ALB,Albania,ECA,National,2010,0.00726106,0.06766825,0.3576312,0.01131496,0.9635942
ALB,Albania,ECA,National,2011,0.008512612,0.07004389,0.3678117,0.01749581,0.9681637
ALB,Albania,ECA,National,2012,0.01063921,0.07671665,0.3912901,0.02490918,0.9760436
ALB,Albania,ECA,National,2013,0.01718526,0.1130014,0.4009078,0.05253349,0.967703
ALB,Albania,ECA,National,2015,0.01301948,0.1026211,0.3825005,0.05577151,0.9596572
ALB,Albania,ECA,National,2018,0.01423106,0.08775227,0.3521727,0.06078669,
ALB,Albania,ECA,National,2019,0.01266547,0.08199248,0.3389408,0.05822428,
ALB,Albania,ECA,National,2020,0.01629655,0.09740244,0.369007,0.0670528,
ALB,Albania,ECA,National,2021,0.01158928,0.07530475,0.3231987,0.05645053,
ARE,United Arab Emirates,OHI,National,1981,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,1984,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,1987,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,1990,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,1993,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,1996,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,1999,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,2002,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,2005,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,2008,0,0,0,0,0
ARE,United Arab Emirates,OHI,National,2010,0,0,0,0,0.06975079
ARE,United Arab Emirates,OHI,National,2011,0,0,0,0,0.06336264
ARE,United Arab Emirates,OHI,National,2012,0,0,0,0,0.09366491
ARE,United Arab Emirates,OHI,National,2013,0,0,0,0,0.08943858
ARE,United Arab Emirates,OHI,National,2015,0,0,0,0,0.1184711
ARE,United Arab Emirates,OHI,National,2018,0,0,0,0,
ARE,United Arab Emirates,OHI,National,2019,0,0,0,0,
ARE,United Arab Emirates,OHI,National,2020,0,0,0,0,
ARE,United Arab Emirates,OHI,National,2021,0,0,0,0,
ARG,Argentina,LAC,National,1981,0.003512396,0.01244925,0.06152917,0.001378869,0.3434432
ARG,Argentina,LAC,National,1984,0.001397668,0.004944005,0.05127248,0.0006665979,0.3064228
ARG,Argentina,LAC,National,1987,0,0.009119486,0.08324368,0,0.3753208
ARG,Argentina,LAC,National,1990,0.008832317,0.04515108,0.1520793,0.007290215,0.5536187
ARG,Argentina,LAC,National,1993,0.02420108,0.05819734,0.149764,0.01394349,0.4607034
ARG,Argentina,LAC,National,1996,0.04633781,0.09498079,0.2233533,0.03723984,0.5535633
ARG,Argentina,LAC,National,1999,0.04779091,0.1067778,0.2418438,0.03768342,0.5652325
ARG,Argentina,LAC,National,2002,0.1398946,0.2624361,0.4424915,0.1124552,0.7699628
ARG,Argentina,LAC,National,2005,0.03652014,0.0950105,0.2112367,0.03581354,0.5891879
ARG,Argentina,LAC,National,2008,0.02602773,0.06274908,0.1467272,0.0286581,0.5482034
ARG,Argentina,LAC,National,2010,0.02233402,0.05328518,0.1265345,0.02692784,0.5292873
ARG,Argentina,LAC,National,2011,0.008889483,0.02391948,0.08807344,0.01224721,0.5083127
