CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
HND,Honduras,LAC,National,2018,HeadCount,LPL,3.2,0.2999901,3.642544,0.2830644,3.988921,0.3121231,-0.0169257,0.012133
HND,Honduras,LAC,National,2018,HeadCount,UPL,5.5,0.5028567,6.11676,0.4678578,5.917937,0.4539591,-0.0349989000000001,-0.0488976
HRV,Croatia,ECA,National,2018,HeadCount,EPL,1.9,0.005297635,2.195249,0.005171488,2.308166,0.005297635,-0.000126147,0
HRV,Croatia,ECA,National,2018,HeadCount,LPL,3.2,0.0110702,3.642544,0.01066146,3.988921,0.01215408,-0.000408740000000001,0.00108388
HRV,Croatia,ECA,National,2018,HeadCount,UPL,5.5,0.03567964,6.11676,0.03005184,5.917937,0.02800792,-0.0056278,-0.00767172
HTI,Haiti,LAC,National,2018,HeadCount,EPL,1.9,0.2534773,2.195249,0.3146927,2.308166,0.3429806,0.0612154,0.0895033
HTI,Haiti,LAC,National,2018,HeadCount,LPL,3.2,0.5151666,3.642544,0.5924374,3.988921,0.6428966,0.0772708,0.12773
HTI,Haiti,LAC,National,2018,HeadCount,UPL,5.5,0.7914225,6.11676,0.8286289,5.917937,0.8169491,0.0372064,0.0255266
HUN,Hungary,ECA,National,2018,HeadCount,EPL,1.9,0.005032118,2.195249,0.006037896,2.308166,0.006744586,0.001005778,0.001712468
HUN,Hungary,ECA,National,2018,HeadCount,LPL,3.2,0.01173317,3.642544,0.01322924,3.988921,0.01563642,0.00149607,0.00390325
HUN,Hungary,ECA,National,2018,HeadCount,UPL,5.5,0.02707019,6.11676,0.032268,5.917937,0.03064749,0.00519781,0.0035773
IDN,Indonesia,EAP,National,2018,HeadCount,EPL,1.9,0.04638862,2.195249,0.05975771,2.308166,0.07249529,0.01336909,0.02610667
IDN,Indonesia,EAP,National,2018,HeadCount,LPL,3.2,0.2415723,3.642544,0.2709961,3.988921,0.3253514,0.0294238,0.0837791
IDN,Indonesia,EAP,National,2018,HeadCount,UPL,5.5,0.5603678,6.11676,0.5741638,5.917937,0.5562608,0.013796,-0.00410699999999997
IND,India,SAS,National,2018,HeadCount,EPL,1.9,0.095524,2.195249,0.1047963,2.308166,0.1268213,0.0092723,0.0312973
IND,India,SAS,National,2018,HeadCount,LPL,3.2,0.4345051,3.642544,0.4407765,3.988921,0.5119307,0.00627140000000004,0.0774256
IND,India,SAS,National,2018,HeadCount,UPL,5.5,0.7857989,6.11676,0.7789981,5.917937,0.7629828,-0.00680079999999994,-0.0228161
IRL,Ireland,OHI,National,2018,HeadCount,EPL,1.9,0.001311761,2.195249,0.001347261,2.308166,0.001415204,3.54999999999999e-05,0.000103443
IRL,Ireland,OHI,National,2018,HeadCount,LPL,3.2,0.003814648,3.642544,0.003842459,3.988921,0.004739174,2.7811e-05,0.000924526
IRL,Ireland,OHI,National,2018,HeadCount,UPL,5.5,0.006549923,6.11676,0.006808446,5.917937,0.006808446,0.000258523,0.000258523
IRN,"Iran, Islamic Republic of",MNA,National,2018,HeadCount,EPL,1.9,0.003370756,2.195249,0.008645293,2.308166,0.01029737,0.005274537,0.006926614
IRN,"Iran, Islamic Republic of",MNA,National,2018,HeadCount,LPL,3.2,0.02741568,3.642544,0.04892862,3.988921,0.06356437,0.02151294,0.03614869
IRN,"Iran, Islamic Republic of",MNA,National,2018,HeadCount,UPL,5.5,0.1285719,6.11676,0.1835206,5.917937,0.1705053,0.0549487,0.0419334
IRQ,Iraq,MNA,National,2018,HeadCount,EPL,1.9,0.02080435,2.195249,0.0003620768,2.308166,0.0007692284,-0.0204422732,-0.0200351216
IRQ,Iraq,MNA,National,2018,HeadCount,LPL,3.2,0.164404,3.642544,0.01445041,3.988921,0.0245996,-0.14995359,-0.1398044
IRQ,Iraq,MNA,National,2018,HeadCount,UPL,5.5,0.5534269,6.11676,0.1338654,5.917937,0.120974,-0.4195615,-0.4324529
ISL,Iceland,OHI,National,2018,HeadCount,EPL,1.9,0,2.195249,0.0003449018,2.308166,0.0003449018,0.0003449018,0.0003449018
ISL,Iceland,OHI,National,2018,HeadCount,LPL,3.2,0.0003449018,3.642544,0.0003449018,3.988921,0.0003449018,0,0
ISL,Iceland,OHI,National,2018,HeadCount,UPL,5.5,0.001285995,6.11676,0.001285995,5.917937,0.001285995,0,0
ISR,Israel,OHI,National,2018,HeadCount,EPL,1.9,0.002413946,2.195249,0.002413946,2.308166,0.002413946,0,0
ISR,Israel,OHI,National,2018,HeadCount,LPL,3.2,0.007363225,3.642544,0.007363225,3.988921,0.009977683,0,0.002614458
ISR,Israel,OHI,National,2018,HeadCount,UPL,5.5,0.02735488,6.11676,0.02985389,5.917937,0.02735488,0.00249901,0
ITA,Italy,OHI,National,2018,HeadCount,EPL,1.9,0.01418087,2.195249,0.01421634,2.308166,0.01433547,3.54699999999993e-05,0.0001546
ITA,Italy,OHI,National,2018,HeadCount,LPL,3.2,0.01817653,3.642544,0.01827159,3.988921,0.01975842,9.5060000000001e-05,0.00158189
ITA,Italy,OHI,National,2018,HeadCount,UPL,5.5,0.03139168,6.11676,0.03134246,5.917937,0.02949635,-4.92199999999957e-05,-0.00189533
JAM,Jamaica,LAC,National,2018,HeadCount,EPL,1.9,0.01836437,2.195249,0.01269927,2.308166,0.01593877,-0.0056651,-0.0024256
JAM,Jamaica,LAC,National,2018,HeadCount,LPL,3.2,0.09482843,3.642544,0.07324284,3.988921,0.0915501,-0.02158559,-0.00327833000000001
JAM,Jamaica,LAC,National,2018,HeadCount,UPL,5.5,0.3034268,6.11676,0.2362867,5.917937,0.2251703,-0.0671401,-0.0782565
JOR,Jordan,MNA,National,2018,HeadCount,EPL,1.9,0.002286842,2.195249,0.0005150115,2.308166,0.001027426,-0.0017718305,-0.001259416
JOR,Jordan,MNA,National,2018,HeadCount,LPL,3.2,0.02953498,3.642544,0.007302483,3.988921,0.01288944,-0.022232497,-0.01664554
JOR,Jordan,MNA,National,2018,HeadCount,UPL,5.5,0.2362327,6.11676,0.07403415,5.917937,0.06545634,-0.16219855,-0.17077636
JPN,Japan,OHI,National,2018,HeadCount,EPL,1.9,0.007278879,2.195249,0.007278879,2.308166,0.007278879,0,0
JPN,Japan,OHI,National,2018,HeadCount,LPL,3.2,0.009434035,3.642544,0.009434035,3.988921,0.009434035,0,0
JPN,Japan,OHI,National,2018,HeadCount,UPL,5.5,0.01209406,6.11676,0.01209406,5.917937,0.01209406,0,0
KAZ,Kazakhstan,ECA,National,2018,HeadCount,EPL,1.9,0.0001941736,2.195249,0.0003739295,2.308166,0.0005365494,0.0001797559,0.0003423758
KAZ,Kazakhstan,ECA,National,2018,HeadCount,LPL,3.2,0.003773395,3.642544,0.006317136,3.988921,0.008924317,0.002543741,0.005150922
KAZ,Kazakhstan,ECA,National,2018,HeadCount,UPL,5.5,0.07053675,6.11676,0.09893124,5.917937,0.08356452,0.02839449,0.01302777
KEN,Kenya,SSA,National,2018,HeadCount,EPL,1.9,0.326424,2.195249,0.2647604,2.308166,0.2929244,-0.0616636,-0.0334996
KEN,Kenya,SSA,National,2018,HeadCount,LPL,3.2,0.6211461,3.642544,0.553432,3.988921,0.6054042,-0.0677141,-0.0157419000000001
KEN,Kenya,SSA,National,2018,HeadCount,UPL,5.5,0.8482352,6.11676,0.7931996,5.917937,0.7829702,-0.0550356,-0.065265
KGZ,Kyrgyz Republic,ECA,National,2018,HeadCount,EPL,1.9,0.008613964,2.195249,0.007864027,2.308166,0.01129742,-0.000749936999999999,0.002683456
KGZ,Kyrgyz Republic,ECA,National,2018,HeadCount,LPL,3.2,0.1549999,3.642544,0.1313986,3.988921,0.1978206,-0.0236013,0.0428207
KGZ,Kyrgyz Republic,ECA,National,2018,HeadCount,UPL,5.5,0.6128246,6.11676,0.5632347,5.917937,0.5341605,-0.0495899000000001,-0.0786641
KOR,"Korea, Republic of",OHI,National,2018,HeadCount,EPL,1.9,0.002492806,2.195249,0.002492806,2.308166,0.002492806,0,0
KOR,"Korea, Republic of",OHI,National,2018,HeadCount,LPL,3.2,0.004969561,3.642544,0.007488055,3.988921,0.007488055,0.002518494,0.002518494
KOR,"Korea, Republic of",OHI,National,2018,HeadCount,UPL,5.5,0.009907304,6.11676,0.01238095,5.917937,0.01238095,0.002473646,0.002473646
LAC,Latin America & Caribbean,Aggregates,Regional,2018,HeadCount,EPL,1.9,0.0442786810571906,2.195249,0.0493386767571853,2.308166,0.0540177365195883,0.00505999569999474,0.00973905546239769
LAC,Latin America & Caribbean,Aggregates,Regional,2018,HeadCount,LPL,3.2,0.104573248931626,3.642544,0.116789046694174,3.988921,0.135962011448293,0.0122157977625481,0.0313887625166665
LAC,Latin America & Caribbean,Aggregates,Regional,2018,HeadCount,UPL,5.5,0.242966631762966,6.11676,0.261819757869133,5.917937,0.250066337458049,0.0188531261061674,0.00709970569508317
LAO,Lao People's Democratic Republic,EAP,National,2018,HeadCount,EPL,1.9,0.08639039,2.195249,0.06171749,2.308166,0.07424252,-0.0246729,-0.01214787
LAO,Lao People's Democratic Republic,EAP,National,2018,HeadCount,LPL,3.2,0.3596792,3.642544,0.2891397,3.988921,0.3487206,-0.0705395,-0.0109586
LAO,Lao People's Democratic Republic,EAP,National,2018,HeadCount,UPL,5.5,0.728202,6.11676,0.652458,5.917937,0.6307288,-0.075744,-0.0974732
LBN,Lebanon,MNA,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308166,0,0,0
LBN,Lebanon,MNA,National,2018,HeadCount,LPL,3.2,0.0006112976,3.642544,0.0006112976,3.988921,0.0006112976,0,0
