CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
COL,Colombia,LAC,National,2018,HeadCount,LPL,3.2,0.1087088,3.642544,0.1259041,3.988921,0.1503872,0.0171953,0.0416784
COL,Colombia,LAC,National,2018,HeadCount,UPL,5.5,0.2777425,6.11676,0.2988264,5.917937,0.2852232,0.0210839,0.00748070000000001
COM,Comoros,SSA,National,2018,HeadCount,EPL,1.9,0.1690509,2.195249,0.1786394,2.308166,0.1874615,0.0095885,0.0184106
COM,Comoros,SSA,National,2018,HeadCount,LPL,3.2,0.3587654,3.642544,0.3674431,3.988921,0.4045065,0.00867770000000001,0.0457411
COM,Comoros,SSA,National,2018,HeadCount,UPL,5.5,0.6131424,6.11676,0.6107291,5.917937,0.6021984,-0.00241329999999995,-0.010944
CPV,Cabo Verde,SSA,National,2018,HeadCount,EPL,1.9,0.02362083,2.195249,0.03411735,2.308166,0.0422349,0.01049652,0.01861407
CPV,Cabo Verde,SSA,National,2018,HeadCount,LPL,3.2,0.12101,3.642544,0.1492934,3.988921,0.190881,0.0282834,0.069871
CPV,Cabo Verde,SSA,National,2018,HeadCount,UPL,5.5,0.3556745,6.11676,0.3925508,5.917937,0.3757548,0.0368763,0.0200803
CRI,Costa Rica,LAC,National,2018,HeadCount,EPL,1.9,0.01418491,2.195249,0.01609605,2.308166,0.01776835,0.00191114,0.00358344
CRI,Costa Rica,LAC,National,2018,HeadCount,LPL,3.2,0.03609675,3.642544,0.04090927,3.988921,0.04796676,0.00481252,0.01187001
CRI,Costa Rica,LAC,National,2018,HeadCount,UPL,5.5,0.1091242,6.11676,0.1159615,5.917937,0.109469,0.00683729999999999,0.000344799999999992
CYP,Cyprus,OHI,National,2018,HeadCount,EPL,1.9,0.0003282886,2.195249,0.0003282886,2.308166,0.0003282886,0,0
CYP,Cyprus,OHI,National,2018,HeadCount,LPL,3.2,0.0005130247,3.642544,0.0005130247,3.988921,0.0005130247,0,0
CYP,Cyprus,OHI,National,2018,HeadCount,UPL,5.5,0.0005130247,6.11676,0.0005130247,5.917937,0.0005130247,0,0
CZE,Czech Republic,ECA,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308166,0,0,0
CZE,Czech Republic,ECA,National,2018,HeadCount,LPL,3.2,0.001187588,3.642544,0.001187588,3.988921,0.001187588,0,0
CZE,Czech Republic,ECA,National,2018,HeadCount,UPL,5.5,0.004449393,6.11676,0.003522778,5.917937,0.003522778,-0.000926615,-0.000926615
DEU,Germany,OHI,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308166,0,0,0
DEU,Germany,OHI,National,2018,HeadCount,LPL,3.2,0.002406784,3.642544,0.002406784,3.988921,0.002406784,0,0
DEU,Germany,OHI,National,2018,HeadCount,UPL,5.5,0.004999123,6.11676,0.004999123,5.917937,0.004999123,0,0
DJI,Djibouti,MNA,National,2018,HeadCount,EPL,1.9,0.1653337,2.195249,0.1897068,2.308166,0.2008819,0.0243731,0.0355482
DJI,Djibouti,MNA,National,2018,HeadCount,LPL,3.2,0.3877862,3.642544,0.4179205,3.988921,0.4731439,0.0301342999999999,0.0853577
DJI,Djibouti,MNA,National,2018,HeadCount,UPL,5.5,0.6929082,6.11676,0.7122882,5.917937,0.6938424,0.0193800000000001,0.000934199999999996
DNK,Denmark,OHI,National,2018,HeadCount,EPL,1.9,0.001409052,2.195249,0.001409052,2.308166,0.001409052,0,0
DNK,Denmark,OHI,National,2018,HeadCount,LPL,3.2,0.001710614,3.642544,0.001710614,3.988921,0.001710614,0,0
DNK,Denmark,OHI,National,2018,HeadCount,UPL,5.5,0.00220796,6.11676,0.00220796,5.917937,0.00220796,0,0
DOM,Dominican Republic,LAC,National,2018,HeadCount,EPL,1.9,0.004349852,2.195249,0.008769393,2.308166,0.0109432,0.004419541,0.006593348
DOM,Dominican Republic,LAC,National,2018,HeadCount,LPL,3.2,0.02598212,3.642544,0.04118416,3.988921,0.05487961,0.01520204,0.02889749
DOM,Dominican Republic,LAC,National,2018,HeadCount,UPL,5.5,0.138435,6.11676,0.1718659,5.917937,0.1579304,0.0334309,0.0194954
DZA,Algeria,MNA,National,2018,HeadCount,EPL,1.9,0.003301132,2.195249,0.003493851,2.308166,0.004056667,0.000192719,0.000755535
DZA,Algeria,MNA,National,2018,HeadCount,LPL,3.2,0.02332829,3.642544,0.02386034,3.988921,0.03635146,0.000532049999999999,0.01302317
DZA,Algeria,MNA,National,2018,HeadCount,UPL,5.5,0.2146696,6.11676,0.2029659,5.917937,0.18275,-0.0117037,-0.0319196
EAP,East Asia & Pacific,Aggregates,Regional,2018,HeadCount,EPL,1.9,0.013210593553053,2.195249,0.0164995734807419,2.308166,0.0200327302058601,0.00328897992768886,0.00682213665280707
EAP,East Asia & Pacific,Aggregates,Regional,2018,HeadCount,LPL,3.2,0.0755678964830475,3.642544,0.0919891099563706,3.988921,0.117280485251004,0.0164212134733231,0.0417125887679562
EAP,East Asia & Pacific,Aggregates,Regional,2018,HeadCount,UPL,5.5,0.254410014303584,6.11676,0.282262318388812,5.917937,0.267014978248887,0.0278523040852283,0.0126049639453026
ECA,Europe & Central Asia,Aggregates,Regional,2018,HeadCount,EPL,1.9,0.0117736031570975,2.195249,0.0265626379975588,2.308166,0.0296285857475389,0.0147890348404612,0.0178549825904414
