year,P20
2010,2.36554042291823
2011,2.53903158298358
2012,2.64035431755087
2013,2.81219626942265
2014,2.91010034962809
2015,3.01740992646576
2016,3.11911601659418
2017,3.24243953633599
2018,3.37046255458963
2019,3.43354376953532
2020,3.50626053790948
2021,3.58518809753195
