ISO3,CountryName,Povcal_Region,WB_Region,UN_Region,Income_Group
AFG,Afghanistan,SAS,SAS,ASC,LIC
ALB,Albania,ECA,ECA,EUS,UMC
DZA,Algeria,MNA,MNA,AFN,UMC
ASM,American Samoa,EAP,EAP,OCP,UMC
AND,Andorra,OHI,ECA,EUS,HIC
AGO,Angola,SSA,SSA,AFM,LMC
ATG,Antigua and Barbuda,LAC,LAC,LAB,HIC
ARG,Argentina,LAC,LAC,LAS,UMC
ARM,Armenia,ECA,ECA,ASW,LMC
ABW,Aruba,OHI,LAC,LAB,HIC
AUS,Australia,OHI,EAP,OCA,HIC
AUT,Austria,OHI,ECA,EUW,HIC
AZE,Azerbaijan,ECA,ECA,ASW,UMC
BHS,"Bahamas, The",OHI,LAC,LAB,HIC
BHR,Bahrain,OHI,MNA,ASW,HIC
BGD,Bangladesh,SAS,SAS,ASC,LMC
BRB,Barbados,LAC,LAC,LAB,HIC
BLR,Belarus,ECA,ECA,EUE,UMC
BEL,Belgium,OHI,ECA,EUW,HIC
BLZ,Belize,LAC,LAC,LAC,UMC
BEN,Benin,SSA,SSA,AFW,LIC
BMU,Bermuda,OHI,LAC,LAN,HIC
BTN,Bhutan,SAS,SAS,ASC,LMC
BOL,Bolivia,LAC,LAC,LAS,LMC
BIH,Bosnia and Herzegovina,ECA,ECA,EUS,UMC
BWA,Botswana,SSA,SSA,AFS,UMC
BRA,Brazil,LAC,LAC,LAS,UMC
VGB,British Virgin Islands,OHI,LAC,LAB,HIC
BRN,Brunei Darussalam,OHI,EAP,ASS,HIC
BGR,Bulgaria,ECA,ECA,EUE,UMC
BFA,Burkina Faso,SSA,SSA,AFW,LIC
BDI,Burundi,SSA,SSA,AFE,LIC
CPV,Cabo Verde,SSA,SSA,AFW,LMC
KHM,Cambodia,EAP,EAP,ASS,LMC
CMR,Cameroon,SSA,SSA,AFM,LMC
CAN,Canada,OHI,NAC,LAN,HIC
CYM,Cayman Islands,OHI,LAC,LAB,HIC
CAF,Central African Republic,SSA,SSA,AFM,LIC
TCD,Chad,SSA,SSA,AFM,LIC
CHI,Channel Islands,OHI,ECA,EUN,HIC
CHL,Chile,LAC,LAC,LAS,HIC
CHN,China,EAP,EAP,ASE,UMC
COL,Colombia,LAC,LAC,LAS,UMC
COM,Comoros,SSA,SSA,AFE,LIC
COD,"Congo, Democratic Republic of",SSA,SSA,AFM,LIC
COG,"Congo, Republic of",SSA,SSA,AFM,LMC
CRI,Costa Rica,LAC,LAC,LAC,UMC
CIV,Cote d'Ivoire,SSA,SSA,AFW,LMC
HRV,Croatia,ECA,ECA,EUS,UMC
CUB,Cuba,LAC,LAC,LAB,UMC
CUW,Curacao,OHI,EAP,LAB,HIC
