CountryCode,CountryName,ProjYear,PovertyLine,HeadCount,CoverageType
AFG,Afghanistan,2008,1.9,0.726086103629137,N
AFG,Afghanistan,2008,1.994779514,0.756130041243703,N
AFG,Afghanistan,2008,3.2,0.932043122875767,N
AFG,Afghanistan,2008,5.5,0.984137682803754,N
AFG,Afghanistan,2008,16.50903858,0.998847483201234,N
AFG,Afghanistan,2010,1.9,0.556665479921386,N
AFG,Afghanistan,2010,2.137507976,0.645195136558339,N
AFG,Afghanistan,2010,3.2,0.868874433004934,N
AFG,Afghanistan,2010,5.5,0.970651453477607,N
AFG,Afghanistan,2010,17.4555425,0.99824723402995,N
AFG,Afghanistan,2011,1.9,0.514575217819735,N
AFG,Afghanistan,2011,2.280773976,0.652466410099323,N
AFG,Afghanistan,2011,3.2,0.847722699504984,N
AFG,Afghanistan,2011,5.5,0.965991461662571,N
AFG,Afghanistan,2011,17.81334964,0.998100886131392,N
AFG,Afghanistan,2012,1.9,0.428395147544484,N
AFG,Afghanistan,2012,2.36253841,0.59355702630668,N
AFG,Afghanistan,2012,3.2,0.793978689662552,N
AFG,Afghanistan,2012,5.5,0.953493424232911,N
AFG,Afghanistan,2012,18.36542926,0.997691182561312,N
AFG,Afghanistan,2013,1.9,0.39384708681492,N
AFG,Afghanistan,2013,2.509693168,0.602745935273314,N
AFG,Afghanistan,2013,3.2,0.767386908462186,N
AFG,Afghanistan,2013,5.5,0.946856163793052,N
AFG,Afghanistan,2013,18.79714975,0.997553011940142,N
AFG,Afghanistan,2015,1.9,0.371896607973711,N
AFG,Afghanistan,2015,2.668833214,0.624972299466156,N
AFG,Afghanistan,2015,3.2,0.74862895950718,N
AFG,Afghanistan,2015,5.5,0.941954239225805,N
AFG,Afghanistan,2015,19.46453494,0.997570782177188,N
AFG,Afghanistan,2018,,,N
AFG,Afghanistan,2018,1.9,0.328317482971903,N
AFG,Afghanistan,2018,2.877820132,0.631628212386757,N
AFG,Afghanistan,2018,3.2,0.706366663688672,N
AFG,Afghanistan,2018,5.5,0.930133014173228,N
AFG,Afghanistan,2019,,,N
AFG,Afghanistan,2019,1.9,0.312129280276949,N
AFG,Afghanistan,2019,2.913124478,0.621347848294242,N
AFG,Afghanistan,2019,3.2,0.688733214885488,N
AFG,Afghanistan,2019,5.5,0.924839208187006,N
AFG,Afghanistan,2020,,,N
