isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10,svy_code,C0
0,1,ALB,Albania,ECA,N,1996,1996,X,58.16801,1.9,187.8427,0.01129124,0.00191154,0.0005560317,0.002310888,0.2701034,165.0867,0.1191043,-1,3.168033,ALB_N1996X,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122,3,ALB_3
0,1,ALB,Albania,ECA,N,2002,2002,X,58.16801,1.9,191.988,0.0204732,0.003545046,0.00105938,0.004367777,0.3173898,158.363,0.1648116,-1,3.05101,ALB_N2002X,0.03494,0.04859,0.05842,0.06738,0.07653,0.08839,0.1023,0.1198,0.1493,0.2544,3,ALB_3
0,1,ALB,Albania,ECA,N,2005,2005,X,58.16801,1.9,217.0335,0.01123728,0.001827474,0.0004780857,0.002140426,0.3059566,184.6848,0.1544128,-1,3.011487,ALB_N2005X,0.03483,0.0492,0.05977,0.06921,0.07988,0.09037,0.1037,0.1213,0.1483,0.2434,3,ALB_3
0,1,ALB,Albania,ECA,N,2008,2008,X,58.16801,1.9,237.5353,0.003705177,0.0006790045,0.0001859087,0.0007979457,0.2998467,198.7757,0.1488934,-1,2.947314,ALB_N2008X,0.03734,0.05137,0.06088,0.06984,0.07912,0.08924,0.103,0.1193,0.1454,0.2446,3,ALB_3
0,1,ALB,Albania,ECA,N,2012,2012,X,58.16801,1.9,225.2692,0.01063921,0.002174487,0.0007369803,0.00271963,0.2896048,195.0467,0.1384171,-1,2.900401,ALB_N2012X,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293,3,ALB_3
0,1,ALB,Albania,ECA,N,2014,2014,X,58.16801,1.9,240.0998,0.01924433,0.002998412,0.0006917121,0.003426411,0.345989,196.3965,0.1986616,-1,2.889104,ALB_N2014X,0.02853,0.04174,0.05223,0.06312,0.07512,0.08933,0.1059,0.1272,0.1613,0.2554,3,ALB_3
0,1,ALB,Albania,ECA,N,2015,2015,X,58.16801,1.9,242.8672,0.01301948,0.001653477,0.0002937536,0.001826981,0.3291291,199.3308,0.1774243,-1,2.880703,ALB_N2015X,0.03133,0.04524,0.05543,0.06559,0.07608,0.08893,0.1047,0.125,0.1587,0.2489,3,ALB_3
0,1,ALB,Albania,ECA,N,2016,2016,X,58.16801,1.9,247.6767,0.01131636,0.001792949,0.0004280673,0.002060645,0.3370824,203.5201,0.1876481,-1,2.876101,ALB_N2016X,0.02962,0.04366,0.05427,0.06419,0.0754,0.08895,0.1053,0.1275,0.1608,0.2503,3,ALB_3
0,1,ALB,Albania,ECA,N,2017,2017,X,58.16801,1.9,245.9924,0.01727963,0.002740423,0.000669057,0.003163628,0.3317109,201.9203,0.1816586,-1,2.873457,ALB_N2017X,0.03074,0.04445,0.05469,0.06499,0.07604,0.08907,0.1056,0.127,0.1597,0.2477,3,ALB_3
0,0,DZA,Algeria,MNA,N,1988,1988,X,31.77229,1.9,200.4312,0.06444528,0.00890793,0.001658591,0.01008939,0.4019491,149.1409,0.2817323,0.3079208,24.443467,DZA_N1988X,0.027,0.03839,0.04869,0.05868,0.06898,0.08035,0.09398,0.1124,0.1434,0.3281,3,DZA_3
0,0,DZA,Algeria,MNA,N,1995,1995,X,31.77229,1.9,190.9572,0.05795958,0.01141532,0.003772566,0.01406385,0.3533005,154.4681,0.2085176,0.3133712,28.757785,DZA_N1995X,0.02872,0.04094,0.05222,0.06329,0.0748,0.08756,0.1029,0.1234,0.1573,0.2689,3,DZA_3
0,0,DZA,Algeria,MNA,N,2011,2011.17,X,31.77229,1.9,247.7322,0.004604681,0.001533537,0.001114992,0.001420597,0.2761573,215.9956,0.1253313,0.2260456,36.661444,DZA_N2011X,0.04046,0.05315,0.06358,0.07306,0.08239,0.09232,0.1039,0.119,0.1436,0.2286,3,DZA_3
0,1,AGO,Angola,SSA,N,2000,2000.21,X,73.83312,1.9,136.7125,0.3227822,0.1464813,0.08865828,0.2496895,0.5195689,86.47519,0.5125765,-1,16.395473,AGO_N2000X,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025,3,AGO_3
0,1,AGO,Angola,SSA,N,2008,2008.5,X,73.83312,1.9,120.7577,0.3008292,0.09639133,0.04389705,0.1336703,0.4271551,87.02627,0.3116315,-1,21.695634,AGO_N2008X,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231,3,AGO_3
0,1,AGO,Angola,SSA,N,2018,2018.17,X,73.83312,1.9,97.44291,0.4764556,0.2137485,0.1233554,0.3429669,0.5127211,60.79884,0.4778896,-1,30.809762,AGO_N2018X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,AGO_3
0,0,ARG,Argentina,LAC,U,1980,1980,Y,2.768382,1.9,796.8967,0.003685597,0.001930856,0.001920856,0.0003373182,0.4083086,609.356,0.2918472,0.3728986,23.122595,ARG_U1980Y,0.0201,0.03286,0.04493,0.05698,0.06969,0.08395,0.1012,0.1247,0.1638,0.3018,2,ARG_2
0,0,ARG,Argentina,LAC,U,1986,1986,Y,2.768382,1.9,863.0112,0,0,0,0,0.4278756,635.2688,0.319819,0.3799595,26.23073,ARG_U1986Y,0.01951,0.03164,0.04318,0.05476,0.06704,0.08088,0.09776,0.1209,0.16,0.3243,2,ARG_2
0,0,ARG,Argentina,LAC,U,1987,1987,Y,2.768382,1.9,788.8666,0,0,0,0,0.4527689,557.7358,0.362684,0.4058292,26.769637,ARG_U1987Y,0.01725,0.02884,0.04012,0.05164,0.06403,0.07815,0.09553,0.1195,0.1607,0.3442,2,ARG_2
0,1,ARG,Argentina,LAC,U,1991,1991,Y,2.768382,1.9,559.907,0.01104142,0.006722298,0.005529523,0.002971229,0.4676174,370.9952,0.4350875,-1,28.887229,ARG_U1991Y,0.01744,0.03052,0.04059,0.05002,0.06059,0.07238,0.08891,0.1141,0.1594,0.3661,2,ARG_2
0,1,ARG,Argentina,LAC,U,1992,1992,Y,2.768382,1.9,564.6129,0.0205003,0.01178787,0.009986985,0.005243416,0.4546809,387.9738,0.390243,-1,29.352243,ARG_U1992Y,0.016,0.03,0.0407,0.05124,0.06211,0.07652,0.09419,0.1206,0.1657,0.3429,2,ARG_2
0,1,ARG,Argentina,LAC,U,1993,1993,Y,2.768382,1.9,566.0145,0.02420108,0.01248197,0.01005843,0.005828547,0.4485629,396.681,0.3879424,-1,29.809452,ARG_U1993Y,0.01484,0.02967,0.04097,0.05217,0.06421,0.07898,0.09671,0.1234,0.167,0.332,2,ARG_2
0,1,ARG,Argentina,LAC,U,1994,1994,Y,2.768382,1.9,558.6381,0.02281492,0.01450393,0.01281613,0.004042402,0.459168,383.2049,0.4110283,-1,30.26059,ARG_U1994Y,0.01496,0.02882,0.03955,0.05068,0.06316,0.07716,0.09502,0.121,0.1651,0.3445,2,ARG_2
0,1,ARG,Argentina,LAC,U,1995,1995,Y,2.768382,1.9,530.8553,0.04111353,0.02355182,0.01875326,0.01157462,0.489044,354.3608,0.4811141,-1,30.705908,ARG_U1995Y,0.01132,0.0263,0.03686,0.04734,0.05912,0.07357,0.09075,0.1168,0.1681,0.3698,2,ARG_2
