A,B,C,svy,year,mean,ppp,type
1.01162112969553,-1.48471217466552,0.244012477733398,ALB_3,1996,187.8427,58.16801,GQ
0.591893948569162,0.95304632961292,0.688771718156755,ALB_3,1996,187.8427,58.16801,Beta
0.86620358499338,-1.2759885689148,0.248528685461553,ALB_3,2002,191.988,58.16801,GQ
0.618752935675457,0.952706145517633,0.569958083992077,ALB_3,2002,191.988,58.16801,Beta
0.921098719604209,-1.40233577318345,0.199078281631975,ALB_3,2005,217.0335,58.16801,GQ
0.601214275231059,0.940280396801201,0.586014207177555,ALB_3,2005,217.0335,58.16801,Beta
0.872360679117719,-1.40127119909582,0.212374980305496,ALB_3,2008,237.5353,58.16801,GQ
0.560866874482817,0.930570410534638,0.544040477421656,ALB_3,2008,237.5353,58.16801,Beta
0.946924533190814,-1.42414961126664,0.226178186219026,ALB_3,2012,225.2692,58.16801,GQ
0.585535836144052,0.936436502519243,0.618565825944877,ALB_3,2012,225.2692,58.16801,Beta
0.772574029478096,-1.07462078137008,0.182122964138605,DZA_3,1988,200.4312,31.77229,GQ
0.65638796139097,0.926488427127846,0.419331671372768,DZA_3,1988,200.4312,31.77229,Beta
0.951327313118468,-1.11749957303958,0.235887171300456,DZA_3,1995,190.9572,31.77229,GQ
0.69103853360988,0.956124396694058,0.566726216988017,DZA_3,1995,190.9572,31.77229,Beta
0.907591045897423,-1.49984463740929,0.199076631778339,DZA_3,2011.17,247.7322,31.77229,GQ
0.52340331121522,0.910622912922676,0.568675424491707,DZA_3,2011.17,247.7322,31.77229,Beta
0.896351754511676,-0.443931385084794,0.0785754235490417,AGO_3,2000.21,136.7125,73.83312,GQ
0.898467289391494,0.980875196052054,0.437051505160123,AGO_3,2000.21,136.7125,73.83312,Beta
0.899717116717835,-0.62620585883037,0.250456688064991,AGO_3,2008.5,120.7577,73.83312,GQ
0.816075555170021,0.988026449613301,0.526705929015558,AGO_3,2008.5,120.7577,73.83312,Beta
1.01359117609591,-0.904780457963681,0.169760579776497,ARG_2,1980,796.8967,2.768382,GQ
