CountryName,WEOaveranking,Povclockrank,Lea.and.Dercon.rank,Lakneraveranking,r.offtrack,r.CLB,avepovrank,overallpovrank
Ukraine,131,160,136,,31,29,97.4,202
United Arab Emirates,148.666666666667,118,,,31,29,81.6666666666667,175
United Kingdom,117,139,,,31,29,79,169
Tanzania,30,26,35,31.3333333333333,31,29,30.3888888888889,71
United States,76,96,,,31,29,58,116
Uruguay,136.666666666667,178,116,,31,29,98.1333333333333,205
Uzbekistan,63.6666666666667,84,54,48.6666666666667,31,29,51.7222222222222,102
Vanuatu,42.3333333333333,52,62,36.3333333333333,31,29,42.1111111111111,89
"Venezuela, Republica Bolivariana de",1,12,72,,31,29,29,36
Vietnam,129.333333333333,112,86,,31,29,77.4666666666667,164
"Yemen, Republic of",14.6666666666667,11,12,1,1,29,11.4444444444444,7
Zambia,7.33333333333333,8,38,7.33333333333333,1,29,15.1111111111111,13
Zimbabwe,12.6666666666667,23,13,48.6666666666667,31,29,26.2222222222222,28
